transaction_date,sales_amount,traffic,revenue,churn_rate
2023-01-01,103.63,1143.0,267.43,0.0207
2023-01-02,135.31,1194.0,278.04,0.028
2023-01-03,144.69,1042.0,221.76,0.0251
2023-01-04,113.7,1060.0,229.97,0.0289
2023-01-05,142.68,1117.0,202.4,0.0285
2023-01-06,109.08,1197.0,235.76,0.0201
2023-01-07,140.57,1101.0,212.51,0.0256
2023-01-08,141.77,1069.0,288.64,0.0282
2023-01-09,124.32,1146.0,294.6,0.0211
2023-01-10,110.22,1063.0,214.17,0.022
2023-01-11,128.43,1052.0,239.09,0.0234
2023-01-12,140.47,1175.0,298.05,0.022
2023-01-13,134.97,1090.0,278.89,0.0237
2023-01-14,112.45,1062.0,216.36,0.021
2023-01-15,132.33,1056.0,269.5,0.0203
2023-01-16,144.51,1103.0,251.2,0.0297
2023-01-17,120.63,1183.0,287.46,0.0217
2023-01-18,130.26,1118.0,215.66,0.0265
2023-01-19,132.25,1050.0,214.34,0.0241
2023-01-20,112.72,1055.0,267.97,0.0256
2023-01-21,130.23,1035.0,219.23,0.03
2023-01-22,115.96,1105.0,268.09,0.0229
2023-01-23,115.85,1093.0,263.41,0.0295
2023-01-24,119.38,1080.0,271.79,0.0275
2023-01-25,140.98,1043.0,201.15,0.0248
2023-01-26,131.16,1064.0,201.05,0.0253
2023-01-27,137.27,1081.0,223.0,0.025
2023-01-28,134.16,1168.0,213.42,0.0295
2023-01-29,116.66,1082.0,222.35,0.0219
2023-01-30,148.31,1153.0,262.27,0.0221
2023-01-31,102.92,1105.0,276.61,0.022
2023-02-01,132.5,1015.0,272.1,0.0283
2023-02-02,133.01,1166.0,220.66,0.0236
2023-02-03,113.71,1159.0,234.85,0.0229
2023-02-04,131.56,1187.0,232.1,0.0254
2023-02-05,104.19,1043.0,269.13,0.0282
2023-02-06,142.02,1140.0,279.04,0.0209
2023-02-07,119.17,1135.0,259.55,0.0226
2023-02-08,147.16,1199.0,212.27,0.0241
2023-02-09,100.04,1186.0,259.8,0.0279
2023-02-10,100.09,1145.0,236.53,0.0276
2023-02-11,119.07,1014.0,224.31,0.0281
2023-02-12,142.06,1104.0,277.94,0.0236
2023-02-13,141.38,1040.0,275.14,0.0261
2023-02-14,115.8,1049.0,289.28,0.0259
2023-02-15,139.15,1191.0,285.44,0.025
